games,medal_winners,medal_table,host,number_medal_events,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total,athlete_with_most_medals,athlete_with_most_gold_medals
1924,winners,table,"Chamonix, France",16,16,16,17,49,Clas Thunberg (FIN) (3–1–1) Roald Larsen (NOR) (0–2–3),Clas Thunberg (FIN) (3–1–1) Thorleif Haug (NOR) (3–0–0)
1928,winners,table,"St. Moritz, Switzerland",14,14,12,15,41,Bernt Evensen (NOR) (1–1–1),Johan Grøttumsbraaten (NOR) (2–0–0) Clas Thunberg (FIN) (2–0–0)
1932,winners,table,"Lake Placid, United States",14,14,14,14,42,Irving Jaffee (USA) (2–0–0) Jack Shea (USA) (2–0–0) Veli Saarinen (FIN) (1–0–1) Alexander Hurd (CAN) (0–1–1) Willy Logan (CAN) (0–0–2),Irving Jaffee (USA) (2–0–0) Jack Shea (USA) (2–0–0)
1936,winners,table,"Garmisch-Partenkirchen, Germany",17,17,17,17,51,Ivar Ballangrud (NOR) (3–1–0),Ivar Ballangrud (NOR) (3–1–0)
1948,winners,table,"St. Moritz, Switzerland",22,22,24,22,68,Henri Oreiller (FRA) (2–0–1),Henri Oreiller (FRA) (2–0–1) Martin Lundström (SWE) (2–0–0)
1952,winners,table,"Oslo, Norway",22,22,22,23,67,Hjalmar Andersen (NOR) (3–0–0) Annemarie Buchner (GER) (0–1–2),Hjalmar Andersen (NOR) (3–0–0)
1956,winners,table,"Cortina d'Ampezzo, Italy",24,25,23,24,72,Sixten Jernberg (SWE) (1–2–1),Toni Sailer (AUT) (3–0–0)
1960,winners,table,"Squaw Valley, United States",27,28,26,27,81,Veikko Hakulinen (FIN) (1–1–1),Yevgeny Grishin (URS) (2–0–0) Lidiya Skoblikova (URS) (2–0–0)
1964,winners,table,"Innsbruck, Austria",34,34,38,31,103,Lidiya Skoblikova (URS) (4–0–0),Lidiya Skoblikova (URS) (4–0–0)
1968,winners,table,"Grenoble, France",35,35,39,32,106,Jean-Claude Killy (FRA) (3–0–0) Toini Gustafsson (SWE) (2–1–0) Eero Mäntyranta (FIN) (0–1–2),Jean-Claude Killy (FRA) (3–0–0)
1972,winners,table,"Sapporo, Japan",35,36,34,35,105,Galina Kulakova (URS) (3–0–0) Ard Schenk (NED) (3–0–0) Vyacheslav Vedenin (URS) (2–0–1) Pål Tyldum (NOR) (1–2–0) Marjatta Kajosmaa (FIN) (0–2–1) Atje Keulen-Deelstra (NED) (0–1–2),Galina Kulakova (URS) (3–0–0) Ard Schenk (NED) (3–0–0)
1976,winners,table,"Innsbruck, Austria",37,37,37,37,111,Tatyana Averina (URS) (2–0–2),Rosi Mittermaier (FRG) (2–1–0) Raisa Smetanina (URS) (2–1–0) Tatyana Averina (URS) (2–0–2) Bernhard Germeshausen (GDR) (2–0–0) Nikolay Kruglov (URS) (2–0–0) Meinhard Nehmer (GDR) (2–0–0)
1980,winners,table,"Lake Placid, United States",38,38,39,38,115,Eric Heiden (USA) (5–0–0),Eric Heiden (USA) (5–0–0)
1984,winners,table,"Sarajevo, Yugoslavia",39,39,39,39,117,Marja-Liisa Hämäläinen (FIN) (3–0–1) Karin Enke (GDR) (2–2–0) Gunde Svan (SWE) (2–1–1),Marja-Liisa Hämäläinen (FIN) (3–0–1)
1988,winners,table,"Calgary, Canada",46,46,46,46,138,Yvonne van Gennip (NED) (3–0–0) Matti Nykänen (FIN) (3–0–0) Tamara Tikhonova (URS) (2–1–0) Valeriy Medvedtsev (URS) (1–2–0) Marjo Matikainen (FIN) (1–0–2) Karin Enke (GDR) (0–2–1) Andrea Ehrig (GDR) (0–2–1) Vladimir Smirnov (URS) (0–2–1),Yvonne van Gennip (NED) (3–0–0) Matti Nykänen (FIN) (3–0–0)
1992,winners,table,"Albertville, France",57,57,58,56,171,Lyubov Yegorova (EUN) (3–2–0) Yelena Välbe (EUN) (1–0–4),Lyubov Yegorova (EUN) (3–2–0) Bjørn Dæhlie (NOR) (3–1–0) Vegard Ulvang (NOR) (3–1–0)
1994,winners,table,"Lillehammer, Norway",61,61,61,61,183,Manuela Di Centa (ITA) (2–2–1),Lyubov Yegorova (RUS) (3–1–0) Johann Olav Koss (NOR) (3–0–0)
1998,winners,table,"Nagano, Japan",68,69,68,68,205,Larisa Lazutina (RUS) (3–1–1),Larisa Lazutina (RUS) (3–1–1) Bjørn Dæhlie (NOR) (3–1–0)
2002,winners,table,"Salt Lake City, United States",78,80,76,78,234,Ole Einar Bjørndalen (NOR) (4–0–0) Janica Kostelić (CRO) (3–1–0),Ole Einar Bjørndalen (NOR) (4–0–0)
2006,winners,table,"Turin, Italy",84,84,84,84,252,Cindy Klassen (CAN) (1–2–2),Ahn Hyun-soo (KOR) (3–0–1) Michael Greis (GER) (3–0–0) Jin Sun-yu (KOR) (3–0–0)
2010,winners,table,"Vancouver, Canada",86,86,87,85,258,Marit Bjørgen (NOR) (3–1–1),Marit Bjørgen (NOR) (3–1–1) Wang Meng (CHN) (3–0–0)
2014,winners,table,"Sochi, Russia",98,99,97,99,295,Ireen Wüst (NED) (2–3–0),Viktor Ahn (RUS) (3–0–1) Marit Bjørgen (NOR) (3–0–0) Darya Domracheva (BLR) (3–0–0)
2018,winners,table,"Pyeongchang, South Korea",102,103,102,102,307,Marit Bjørgen (NOR) (2–1–2),Martin Fourcade (FRA) (3–0–0) Johannes Høsflot Klæbo (NOR) (3–0–0)
2022,winners,table,"Beijing, China",109,109,109,110,327,Johannes Thingnes Bø (NOR) (4–0–1) Alexander Bolshunov (ROC) (3–1–1) Marte Olsbu Røiseland (NOR) (3–0–2) Quentin Fillon Maillet (FRA) (2–3–0),Johannes Thingnes Bø (NOR) (4–0–1)
2026,winners,table,"Milan/Cortina d'Ampezzo, Italy",116,116,118,115,349,Johannes Høsflot Klæbo (NOR) (6–0–0),Johannes Høsflot Klæbo (NOR) (6–0–0)
